Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
26.0,male,licence,0.0,3.0,26.78382755,48,78,91,1,yes
39.0,male,phd,12.0,3.0,25.86269433,35,68,80,2,yes
48.0,female,licence,3.0,2.0,9.920804828,20,67,13,2,no
34.0,male,licence,5.0,2.0,6.407750729,36,27,70,3,no
35.0,female,bac,6.0,1.0,43.10534312,23,52,85,2,no
27.0,female,master,14.0,4.0,31.70665881,54,50,50,1,yes
48.0,female,licence,6.0,1.0,17.2912292,24,52,64,3,no
40.0,female,phd,13.0,3.0,10.58681087,6,3,92,3,no
26.0,male,master,6.0,5.0,28.77486401,80,78,51,1,yes
45.0,male,licence,2.0,5.0,30.19596446,92,16,94,3,no
38.0,male,bac,15.0,2.0,11.34968006,93,66,29,2,no
42.0,female,master,5.0,5.0,43.57028739,70,73,56,2,no
30.0,female,master,12.0,5.0,5.213218308,96,46,78,3,yes
30.0,female,bac,7.0,5.0,18.80465426,70,55,81,2,no
43.0,male,licence,3.0,3.0,35.01922069,23,22,98,1,no
40.0,female,master,12.0,5.0,14.70601819,10,17,29,2,no
23.0,female,bac,7.0,5.0,42.38375974,72,0,97,2,no
27.0,male,phd,1.0,5.0,37.99339133,11,34,41,1,no
43.0,male,licence,14.0,3.0,40.45114223,34,63,10,2,no
22.0,male,bac,9.0,3.0,6.955326794,62,57,26,2,no
41.0,male,master,8.0,2.0,8.0273564,67,94,23,2,no
40.0,male,licence,8.0,1.0,15.32368689,99,58,98,2,yes
21.0,female,licence,7.0,4.0,26.90385826,91,0,38,3,no
43.0,female,bac,9.0,3.0,38.40080383,56,2,71,2,no
31.0,female,bac,13.0,3.0,42.82654454,12,66,17,2,no
49.0,male,licence,12.0,4.0,36.2167658,22,36,76,1,yes
25.0,female,licence,9.0,4.0,47.42984408,82,82,44,2,no
21.0,male,licence,0.0,4.0,37.93717548,100,28,87,3,no
47.0,male,master,1.0,2.0,16.31339435,38,88,86,2,no
40.0,female,licence,5.0,5.0,14.25406422,87,32,11,2,no
20.0,male,bac,9.0,3.0,35.80962252,79,99,48,2,no
31.0,male,licence,4.0,5.0,10.64352843,96,60,93,2,no
45.0,male,phd,11.0,5.0,5.635740541,11,92,30,1,yes
41.0,female,master,8.0,4.0,27.61114374,33,89,91,3,yes
48.0,female,licence,8.0,3.0,42.08207849,70,3,21,1,no
31.0,female,licence,4.0,1.0,6.068992123,74,13,43,2,no
44.0,male,licence,1.0,2.0,40.59456619,30,90,91,2,no
36.0,male,master,9.0,5.0,41.57860022,92,32,63,2,yes
46.0,female,master,3.0,2.0,25.1137,61,21,76,1,yes
46.0,male,licence,8.0,4.0,3.865515501,12,47,24,2,no
50.0,male,master,0.0,1.0,9.729492562,30,2,50,1,no
29.0,male,master,10.0,4.0,36.37131376,1,86,6,1,yes
47.0,male,bac,0.0,1.0,36.58889725,14,84,5,2,no
47.0,male,licence,11.0,5.0,45.91776376,56,22,23,2,no
35.0,female,bac,6.0,1.0,30.13430733,74,67,18,1,yes
34.0,male,licence,10.0,1.0,7.205368386,33,20,82,1,yes
49.0,female,master,2.0,1.0,7.070745275,67,100,99,3,no
49.0,male,licence,9.0,2.0,37.05661787,74,42,8,3,no
34.0,female,licence,1.0,3.0,10.18923326,28,94,35,1,no
49.0,male,bac,8.0,5.0,17.41927498,65,84,39,2,no
38.0,female,licence,2.0,1.0,25.36060035,15,25,92,2,no
31.0,male,licence,15.0,3.0,2.238243879,38,40,23,2,no
42.0,female,licence,1.0,5.0,13.44095135,76,98,47,3,no
39.0,male,licence,8.0,1.0,21.39448043,36,37,62,1,yes
44.0,female,licence,7.0,1.0,14.98181592,80,87,68,2,yes
22.0,male,licence,9.0,2.0,7.818516373,20,10,52,2,no
24.0,female,bac,5.0,5.0,37.40061289,43,28,53,2,no
38.0,female,bac,5.0,1.0,41.65738276,18,59,41,2,no
26.0,male,licence,9.0,1.0,13.87394881,70,66,44,3,no
40.0,male,licence,10.0,5.0,39.72097473,7,64,89,1,yes
28.0,female,licence,6.0,3.0,20.27767822,76,60,13,1,yes
26.0,male,licence,6.0,5.0,26.33428954,100,18,28,1,yes
37.0,female,licence,10.0,5.0,43.80005374,65,45,5,3,no
23.0,female,master,12.0,3.0,38.49768409,40,48,6,2,no
44.0,female,bac,14.0,5.0,41.25584257,74,21,36,2,no
47.0,male,licence,5.0,3.0,7.842258329,87,77,52,1,yes
33.0,female,master,3.0,5.0,4.485971292,69,56,17,3,no
37.0,female,licence,10.0,3.0,45.67023645,60,13,86,3,no
45.0,male,licence,8.0,4.0,20.39171348,25,43,37,2,no
28.0,male,phd,5.0,5.0,15.3939839,70,15,58,2,no
45.0,male,master,3.0,2.0,37.23481271,82,96,0,1,yes
40.0,male,licence,11.0,1.0,42.82077983,69,76,67,2,no
21.0,female,licence,2.0,1.0,44.12448109,28,11,43,2,no
39.0,female,licence,3.0,2.0,16.79985706,65,54,46,1,no
47.0,female,licence,2.0,2.0,43.61061956,18,50,34,2,no
34.0,female,licence,14.0,5.0,3.046697219,67,38,86,1,yes
47.0,male,licence,1.0,2.0,3.483074573,57,32,90,2,no
26.0,female,licence,13.0,4.0,32.17595976,69,32,59,2,no
31.0,female,licence,4.0,3.0,4.155318456,56,28,89,1,no
48.0,male,master,1.0,2.0,17.23045843,36,68,51,2,no
27.0,female,licence,5.0,2.0,34.63779931,60,69,7,2,no
34.0,female,bac,2.0,4.0,17.8633448,91,30,79,1,yes
22.0,female,licence,5.0,1.0,9.979989072,29,79,40,3,no
33.0,female,licence,14.0,1.0,15.06753109,70,30,2,1,no
36.0,female,licence,10.0,5.0,23.87876661,72,88,95,2,yes
23.0,female,licence,9.0,4.0,24.76929277,24,45,68,1,yes
37.0,male,licence,8.0,3.0,40.15001157,96,96,83,1,yes
27.0,male,licence,0.0,3.0,38.50766147,64,76,13,1,no
23.0,female,bac,15.0,4.0,23.84089023,5,51,95,1,yes
21.0,female,bac,15.0,3.0,43.28336745,17,9,25,2,no
49.0,male,licence,5.0,1.0,6.71185693,9,87,69,1,yes
25.0,female,licence,8.0,3.0,13.76766751,91,73,57,2,no
41.0,female,phd,10.0,3.0,42.39882318,10,40,99,1,yes
29.0,female,licence,3.0,4.0,19.89970193,96,94,39,1,yes
23.0,male,licence,10.0,4.0,50.05907794,64,76,50,2,no
41.0,female,licence,11.0,3.0,24.31266408,76,2,4,3,no
48.0,male,bac,1.0,2.0,40.59678115,100,58,76,2,no
50.0,female,phd,12.0,4.0,21.11535207,83,51,31,2,yes
37.0,male,licence,3.0,5.0,22.24767595,64,33,79,1,no
45.0,male,master,0.0,5.0,20.14415736,51,48,0,3,no
31.0,female,bac,2.0,1.0,36.95378103,66,27,76,1,no
21.0,male,licence,9.0,3.0,28.3758942,81,82,53,1,yes
29.0,female,licence,8.0,2.0,48.18890557,77,86,10,2,no
49.0,male,master,9.0,1.0,13.54451583,30,95,52,2,no
23.0,female,bac,4.0,3.0,6.028136604,90,12,7,3,no
33.0,female,licence,14.0,4.0,20.66307425,16,96,24,1,yes
50.0,male,phd,10.0,5.0,31.83563538,54,97,39,3,no
35.0,female,licence,5.0,2.0,44.03994685,92,96,31,2,no
